block,genotype,diet,bacteria,time_point,homogenate_volume_mL,dilution,plate_id,CFU_mL,CFU_fly
A,CS,16%,2698B,12,0.5,100,T12-16%-1,6.00E+01,3.00E+03
A,CS,2%,2698B,12,0.5,100,T12-2%-2,6.00E+01,3.00E+03
A,CS,2%,2698B,12,0.5,100,T12-2%-10,8.00E+01,4.00E+03
A,CS,2%,2698B,14,0.5,100,T14-2%-7,1.00E+02,5.00E+03
A,CS,16%,2698B,16,0.5,100,T16-16%-2,1.00E+02,5.00E+03
A,CS,2%,2698B,12,0.5,100,T12-2%-7,1.20E+02,6.00E+03
A,CS,2%,2698B,14,0.5,100,T14-2%-12,1.60E+02,8.00E+03
A,CS,2%,2698B,12,0.5,100,T12-2%-12,1.80E+02,9.00E+03
A,CS,2%,2698B,12,0.5,100,T12-2%-11,1.80E+02,9.00E+03
A,CS,16%,2698B,14,0.5,100,T14-16%-9,1.80E+02,9.00E+03
A,CS,2%,2698B,12,0.5,100,T12-2%-3,2.00E+02,1.00E+04
A,CS,2%,2698B,48,0.5,100,T48-2%-7,2.00E+02,1.00E+04
A,CS,2%,2698B,12,0.5,100,T12-2%-6,2.20E+02,1.10E+04
A,CS,2%,2698B,14,0.5,100,T14-2%-8,2.20E+02,1.10E+04
A,CS,16%,2698B,16,0.5,100,T16-16%-4,2.20E+02,1.10E+04
A,CS,16%,2698B,24,0.5,100,T24-16%-7,2.20E+02,1.10E+04
A,CS,2%,2698B,14,0.5,100,T14-2%-2,2.40E+02,1.20E+04
A,CS,2%,2698B,36,0.5,100,T36-2%-7,2.40E+02,1.20E+04
A,CS,16%,2698B,12,0.5,100,T12-16%-6,2.60E+02,1.30E+04
A,CS,16%,2698B,14,0.5,100,T14-16%-4,2.60E+02,1.30E+04
A,CS,16%,2698B,14,0.5,100,T14-16%-6,2.60E+02,1.30E+04
A,CS,2%,2698B,14,0.5,100,T14-2%-10,2.60E+02,1.30E+04
A,CS,2%,2698B,14,0.5,100,T14-2%-11,2.60E+02,1.30E+04
A,CS,2%,2698B,16,0.5,100,T16-2%-8,2.60E+02,1.30E+04
A,CS,2%,2698B,24,0.5,100,T24-2%-1,2.60E+02,1.30E+04
A,CS,2%,2698B,14,0.5,100,T14-2%-3,2.80E+02,1.40E+04
A,CS,16%,2698B,16,0.5,100,T16-16%-10,2.80E+02,1.40E+04
A,CS,16%,2698B,12,0.5,100,T12-16%-9,3.00E+02,1.50E+04
A,CS,16%,2698B,14,0.5,100,T14-16%-12,3.00E+02,1.50E+04
A,CS,2%,2698B,6,0.5,10,T6-2%-1,3.20E+02,1.60E+03
A,CS,16%,2698B,16,0.5,100,T16-16%-9,3.20E+02,1.60E+04
