block,vial,treatment,diet,time,censor,hours_til_death
A,1,PBS,0%,13:57,0,120
A,1,PBS,0%,13:57,0,120
A,1,PBS,0%,13:57,0,120
A,1,PBS,0%,13:57,0,120
A,1,PBS,0%,13:57,0,120
A,1,PBS,0%,13:57,0,120
A,1,PBS,0%,13:57,0,120
A,1,PBS,0%,13:57,0,120
A,1,PBS,0%,13:57,0,120
A,1,PBS,0%,13:57,0,120
A,2,Providencia,0%,14:57,1,24
A,2,Providencia,0%,14:57,1,24
A,2,Providencia,0%,14:57,1,24
A,2,Providencia,0%,14:57,1,24
A,2,Providencia,0%,14:57,1,24
A,2,Providencia,0%,14:57,0,120
A,2,Providencia,0%,14:57,0,120
A,2,Providencia,0%,14:57,0,120
A,2,Providencia,0%,14:57,0,120
A,2,Providencia,0%,14:57,0,120
A,3,Providencia,0%,14:55,1,24
A,3,Providencia,0%,14:55,1,48
A,3,Providencia,0%,14:55,1,48
A,3,Providencia,0%,14:55,1,48
A,3,Providencia,0%,14:55,0,120
A,3,Providencia,0%,14:55,0,120
A,3,Providencia,0%,14:55,0,120
A,3,Providencia,0%,14:55,0,120
A,3,Providencia,0%,14:55,0,120
A,3,Providencia,0%,14:55,0,120
A,4,Providencia,0%,14:51,1,24
A,4,Providencia,0%,14:51,1,24
A,4,Providencia,0%,14:51,1,24
A,4,Providencia,0%,14:51,1,24
A,4,Providencia,0%,14:51,1,24
A,4,Providencia,0%,14:51,0,120
A,4,Providencia,0%,14:51,0,120
A,4,Providencia,0%,14:51,0,120
A,4,Providencia,0%,14:51,0,120
A,4,Providencia,0%,14:51,0,120
A,5,PBS,2%,12:50,1,24
A,5,PBS,2%,12:50,1,24
A,5,PBS,2%,12:50,0,120
A,5,PBS,2%,12:50,0,120
A,5,PBS,2%,12:50,0,120
A,5,PBS,2%,12:50,0,120
A,5,PBS,2%,12:50,0,120
A,5,PBS,2%,12:50,0,120
A,5,PBS,2%,12:50,0,120
A,5,PBS,2%,12:50,0,120
A,6,Providencia,2%,14:30,1,24
A,6,Providencia,2%,14:30,1,24
A,6,Providencia,2%,14:30,1,48
A,6,Providencia,2%,14:30,0,120
A,6,Providencia,2%,14:30,0,120
A,6,Providencia,2%,14:30,0,120
A,6,Providencia,2%,14:30,0,120
A,6,Providencia,2%,14:30,0,120
A,6,Providencia,2%,14:30,0,120
A,6,Providencia,2%,14:30,0,120
A,7,Providencia,2%,14:32,1,24
A,7,Providencia,2%,14:32,1,48
A,7,Providencia,2%,14:32,1,48
A,7,Providencia,2%,14:32,1,48
A,7,Providencia,2%,14:32,1,48
A,7,Providencia,2%,14:32,1,96
A,7,Providencia,2%,14:32,1,96
A,7,Providencia,2%,14:32,0,120
A,7,Providencia,2%,14:32,0,120
A,7,Providencia,2%,14:32,0,120
A,8,Providencia,2%,14:28,1,24
A,8,Providencia,2%,14:28,1,48
A,8,Providencia,2%,14:28,1,96
A,8,Providencia,2%,14:28,1,96
A,8,Providencia,2%,14:28,0,120
A,8,Providencia,2%,14:28,0,120
A,8,Providencia,2%,14:28,0,120
A,8,Providencia,2%,14:28,0,120
A,8,Providencia,2%,14:28,0,120
A,8,Providencia,2%,14:28,0,120
A,9,PBS,4%,12:31,1,24
A,9,PBS,4%,12:31,1,96
A,9,PBS,4%,12:31,0,120
A,9,PBS,4%,12:31,0,120
A,9,PBS,4%,12:31,0,120
A,9,PBS,4%,12:31,0,120
A,9,PBS,4%,12:31,0,120
A,9,PBS,4%,12:31,0,120
A,9,PBS,4%,12:31,0,120
A,9,PBS,4%,12:31,0,120
A,10,Providencia,4%,14:07,1,24
A,10,Providencia,4%,14:07,1,24
A,10,Providencia,4%,14:07,1,24
A,10,Providencia,4%,14:07,1,24
A,10,Providencia,4%,14:07,1,24
A,10,Providencia,4%,14:07,1,24
A,10,Providencia,4%,14:07,1,24
A,10,Providencia,4%,14:07,1,24
A,10,Providencia,4%,14:07,1,48
A,10,Providencia,4%,14:07,0,120
A,11,Providencia,4%,14:08,1,24
A,11,Providencia,4%,14:08,1,24
A,11,Providencia,4%,14:08,1,24
A,11,Providencia,4%,14:08,1,24
A,11,Providencia,4%,14:08,1,24
A,11,Providencia,4%,14:08,1,24
A,11,Providencia,4%,14:08,1,48
A,11,Providencia,4%,14:08,1,48
A,11,Providencia,4%,14:08,0,120
A,11,Providencia,4%,14:08,0,120
A,12,Providencia,4%,14:09,1,24
A,12,Providencia,4%,14:09,1,24
A,12,Providencia,4%,14:09,1,24
