block,vial,treatment,time,diet,censor,hours_til_death
A,1,pbs,15:04,0%,1,24
A,1,pbs,15:04,0%,0,120
A,1,pbs,15:04,0%,0,120
A,1,pbs,15:04,0%,0,120
A,1,pbs,15:04,0%,0,120
A,1,pbs,15:04,0%,0,120
A,1,pbs,15:04,0%,0,120
A,1,pbs,15:04,0%,0,120
A,1,pbs,15:04,0%,0,120
A,1,pbs,15:04,0%,0,120
A,1,pbs,15:04,0%,0,120
A,1,pbs,15:04,0%,0,120
A,2,2698B,15:27,0%,1,24
A,2,2698B,15:27,0%,1,48
A,2,2698B,15:27,0%,1,72
A,2,2698B,15:27,0%,1,72
A,2,2698B,15:27,0%,1,96
A,2,2698B,15:27,0%,0,120
A,2,2698B,15:27,0%,0,120
A,2,2698B,15:27,0%,0,120
A,2,2698B,15:27,0%,0,120
A,2,2698B,15:27,0%,0,120
A,3,2698B,15:30,0%,1,24
A,3,2698B,15:30,0%,1,48
A,3,2698B,15:30,0%,0,120
A,3,2698B,15:30,0%,0,120
A,3,2698B,15:30,0%,0,120
A,3,2698B,15:30,0%,0,120
A,3,2698B,15:30,0%,0,120
A,3,2698B,15:30,0%,0,120
A,3,2698B,15:30,0%,0,120
A,3,2698B,15:30,0%,0,120
A,4,2698B,16:30,0%,1,24
A,4,2698B,16:30,0%,1,48
A,4,2698B,16:30,0%,1,48
A,4,2698B,16:30,0%,1,48
A,4,2698B,16:30,0%,1,48
A,4,2698B,16:30,0%,1,72
A,4,2698B,16:30,0%,0,120
A,4,2698B,16:30,0%,0,120
A,4,2698B,16:30,0%,0,120
A,4,2698B,16:30,0%,0,120
A,4,2698B,16:30,0%,0,120
A,4,2698B,16:30,0%,0,120
A,5,pbs,14:44,2%,0,120
A,5,pbs,14:44,2%,0,120
A,5,pbs,14:44,2%,0,120
A,5,pbs,14:44,2%,0,120
A,5,pbs,14:44,2%,0,120
A,5,pbs,14:44,2%,0,120
A,5,pbs,14:44,2%,0,120
A,5,pbs,14:44,2%,0,120
A,5,pbs,14:44,2%,0,120
A,5,pbs,14:44,2%,0,120
A,5,pbs,14:44,2%,0,120
A,5,pbs,14:44,2%,0,120
A,6,2698B,15:55,2%,1,24
A,6,2698B,15:55,2%,1,24
A,6,2698B,15:55,2%,1,24
A,6,2698B,15:55,2%,1,24
A,6,2698B,15:55,2%,1,48
A,6,2698B,15:55,2%,0,120
A,6,2698B,15:55,2%,0,120
A,6,2698B,15:55,2%,0,120
A,6,2698B,15:55,2%,0,120
A,6,2698B,15:55,2%,0,120
A,7,2698B,15:59,2%,1,48
A,7,2698B,15:59,2%,1,96
A,7,2698B,15:59,2%,0,120
A,7,2698B,15:59,2%,0,120
A,7,2698B,15:59,2%,0,120
A,7,2698B,15:59,2%,0,120
A,7,2698B,15:59,2%,0,120
A,7,2698B,15:59,2%,0,120
A,7,2698B,15:59,2%,0,120
A,7,2698B,15:59,2%,0,120
A,8,2698B,16:35,2%,1,24
A,8,2698B,16:35,2%,1,24
A,8,2698B,16:35,2%,1,24
A,8,2698B,16:35,2%,1,24
A,8,2698B,16:35,2%,1,24
A,8,2698B,16:35,2%,1,24
A,8,2698B,16:35,2%,1,96
A,8,2698B,16:35,2%,0,120
A,8,2698B,16:35,2%,0,120
A,8,2698B,16:35,2%,0,120
A,8,2698B,16:35,2%,0,120
A,8,2698B,16:35,2%,0,120
A,9,pbs,14:55,4%,0,120
A,9,pbs,14:55,4%,0,120
A,9,pbs,14:55,4%,0,120
A,9,pbs,14:55,4%,0,120
A,9,pbs,14:55,4%,0,120
A,9,pbs,14:55,4%,0,120
A,9,pbs,14:55,4%,0,120
A,9,pbs,14:55,4%,0,120
A,9,pbs,14:55,4%,0,120
A,9,pbs,14:55,4%,0,120
A,9,pbs,14:55,4%,0,120
A,9,pbs,14:55,4%,0,120
A,10,2698B,15:37,4%,1,24
A,10,2698B,15:37,4%,1,24
A,10,2698B,15:37,4%,1,24
A,10,2698B,15:37,4%,1,24
A,10,2698B,15:37,4%,1,48
A,10,2698B,15:37,4%,1,48
A,10,2698B,15:37,4%,0,120
A,10,2698B,15:37,4%,0,120
A,10,2698B,15:37,4%,0,120
A,10,2698B,15:37,4%,0,120
A,11,2698B,15:20,4%,1,24
A,11,2698B,15:20,4%,1,24
A,11,2698B,15:20,4%,1,24
A,11,2698B,15:20,4%,1,24
A,11,2698B,15:20,4%,1,24
A,11,2698B,15:20,4%,0,120
A,11,2698B,15:20,4%,0,120
A,11,2698B,15:20,4%,0,120
A,11,2698B,15:20,4%,0,120
A,11,2698B,15:20,4%,0,120
A,12,2698B,16:20,4%,1,48
A,12,2698B,16:20,4%,1,48
A,12,2698B,16:20,4%,1,48
A,12,2698B,16:20,4%,0,120
A,12,2698B,16:20,4%,0,120
A,12,2698B,16:20,4%,0,120
A,12,2698B,16:20,4%,0,120
A,12,2698B,16:20,4%,0,120
A,12,2698B,16:20,4%,0,120
A,12,2698B,16:20,4%,0,120
A,13,pbs,15:09,8%,0,120
A,13,pbs,15:09,8%,0,120
A,13,pbs,15:09,8%,0,120
A,13,pbs,15:09,8%,0,120
A,13,pbs,15:09,8%,0,120
A,13,pbs,15:09,8%,0,120
A,13,pbs,15:09,8%,0,120
A,13,pbs,15:09,8%,0,120
A,13,pbs,15:09,8%,0,120
A,13,pbs,15:09,8%,0,120
A,13,pbs,15:09,8%,0,120
A,13,pbs,15:09,8%,0,120
A,14,2698B,16:05,8%,1,24
A,14,2698B,16:05,8%,1,72
A,14,2698B,16:05,8%,0,120
A,14,2698B,16:05,8%,0,120
A,14,2698B,16:05,8%,0,120
A,14,2698B,16:05,8%,0,120
A,14,2698B,16:05,8%,0,120
A,14,2698B,16:05,8%,0,120
A,14,2698B,16:05,8%,0,120
A,14,2698B,16:05,8%,0,120
A,15,2698B,16:24,8%,1,24
A,15,2698B,16:24,8%,1,24
A,15,2698B,16:24,8%,1,24
A,15,2698B,16:24,8%,1,24
A,15,2698B,16:24,8%,1,48
A,15,2698B,16:24,8%,1,48
A,15,2698B,16:24,8%,1,48
A,15,2698B,16:24,8%,1,48
A,15,2698B,16:24,8%,0,120
A,15,2698B,16:24,8%,0,120
A,15,2698B,16:24,8%,0,120
A,15,2698B,16:24,8%,0,120
A,16,2698B,16:03,8%,0,120
A,16,2698B,16:03,8%,0,120
A,16,2698B,16:03,8%,0,120
A,16,2698B,16:03,8%,0,120
A,16,2698B,16:03,8%,0,120
A,16,2698B,16:03,8%,0,120
A,16,2698B,16:03,8%,0,120
A,16,2698B,16:03,8%,0,120
A,16,2698B,16:03,8%,0,120
A,16,2698B,16:03,8%,0,120
A,17,pbs,14:49,16%,1,24
A,17,pbs,14:49,16%,0,120
A,17,pbs,14:49,16%,0,120
A,17,pbs,14:49,16%,0,120
A,17,pbs,14:49,16%,0,120
A,17,pbs,14:49,16%,0,120
A,17,pbs,14:49,16%,0,120
A,17,pbs,14:49,16%,0,120
A,17,pbs,14:49,16%,0,120
A,17,pbs,14:49,16%,0,120
A,17,pbs,14:49,16%,0,120
A,17,pbs,14:49,16%,0,120
A,18,2698B,15:47,16%,1,24
A,18,2698B,15:47,16%,1,24
A,18,2698B,15:47,16%,1,24
A,18,2698B,15:47,16%,1,48
A,18,2698B,15:47,16%,0,120
A,18,2698B,15:47,16%,0,120
A,18,2698B,15:47,16%,0,120
A,18,2698B,15:47,16%,0,120
A,18,2698B,15:47,16%,0,120
A,18,2698B,15:47,16%,0,120
A,19,2698B,14:10,16%,1,24
A,19,2698B,14:10,16%,1,24
A,19,2698B,14:10,16%,1,24
A,19,2698B,14:10,16%,1,72
A,19,2698B,14:10,16%,1,72
A,19,2698B,14:10,16%,1,72
A,19,2698B,14:10,16%,0,120
A,19,2698B,14:10,16%,0,120
A,19,2698B,14:10,16%,0,120
A,19,2698B,14:10,16%,0,120
A,20,2698B,16:39,16%,1,24
A,20,2698B,16:39,16%,1,24
A,20,2698B,16:39,16%,1,48
A,20,2698B,16:39,16%,1,48
A,20,2698B,16:39,16%,1,48
A,20,2698B,16:39,16%,1,72
A,20,2698B,16:39,16%,0,120
A,20,2698B,16:39,16%,0,120
A,20,2698B,16:39,16%,0,120
A,20,2698B,16:39,16%,0,120
A,20,2698B,16:39,16%,0,120
A,20,2698B,16:39,16%,0,120
A,21,pbs,15:00,24%,1,24
A,21,pbs,15:00,24%,1,24
A,21,pbs,15:00,24%,1,24
A,21,pbs,15:00,24%,1,48
A,21,pbs,15:00,24%,0,120
A,21,pbs,15:00,24%,0,120
A,21,pbs,15:00,24%,0,120
A,21,pbs,15:00,24%,0,120
A,21,pbs,15:00,24%,0,120
A,21,pbs,15:00,24%,0,120
A,21,pbs,15:00,24%,0,120
A,21,pbs,15:00,24%,0,120
A,22,2698B,15:40,24%,1,24
A,22,2698B,15:40,24%,1,24
A,22,2698B,15:40,24%,1,24
A,22,2698B,15:40,24%,1,24
A,22,2698B,15:40,24%,1,48
A,22,2698B,15:40,24%,1,72
A,22,2698B,15:40,24%,0,120
A,22,2698B,15:40,24%,0,120
A,22,2698B,15:40,24%,0,120
A,22,2698B,15:40,24%,0,120
A,23,2698B,15:37,24%,1,24
A,23,2698B,15:37,24%,1,48
A,23,2698B,15:37,24%,1,48
A,23,2698B,15:37,24%,0,120
A,23,2698B,15:37,24%,0,120
A,23,2698B,15:37,24%,0,120
A,23,2698B,15:37,24%,0,120
A,23,2698B,15:37,24%,0,120
A,23,2698B,15:37,24%,0,120
A,23,2698B,15:37,24%,0,120
A,24,2698B,16:16,24%,1,24
A,24,2698B,16:16,24%,1,24
A,24,2698B,16:16,24%,1,24
A,24,2698B,16:16,24%,1,24
A,24,2698B,16:16,24%,1,24
A,24,2698B,16:16,24%,1,24
A,24,2698B,16:16,24%,1,24
A,24,2698B,16:16,24%,1,48
A,24,2698B,16:16,24%,1,48
A,24,2698B,16:16,24%,0,120
A,24,2698B,16:16,24%,0,120
A,24,2698B,16:16,24%,0,120
B,25,pbs,15:42,0%,0,120
B,25,pbs,15:42,0%,0,120
B,25,pbs,15:42,0%,0,120
B,25,pbs,15:42,0%,0,120
B,25,pbs,15:42,0%,0,120
B,25,pbs,15:42,0%,0,120
B,25,pbs,15:42,0%,0,120
B,25,pbs,15:42,0%,0,120
B,25,pbs,15:42,0%,0,120
B,25,pbs,15:42,0%,0,120
B,25,pbs,15:42,0%,0,120
B,25,pbs,15:42,0%,0,120
B,26,2698B,16:32,0%,1,48
B,26,2698B,16:32,0%,1,48
B,26,2698B,16:32,0%,0,120
B,26,2698B,16:32,0%,0,120
B,26,2698B,16:32,0%,0,120
B,26,2698B,16:32,0%,0,120
B,26,2698B,16:32,0%,0,120
B,26,2698B,16:32,0%,0,120
B,26,2698B,16:32,0%,0,120
B,27,2698B,18:00,0%,1,24
B,27,2698B,18:00,0%,1,48
B,27,2698B,18:00,0%,0,120
B,27,2698B,18:00,0%,0,120
B,27,2698B,18:00,0%,0,120
B,27,2698B,18:00,0%,0,120
B,27,2698B,18:00,0%,0,120
B,27,2698B,18:00,0%,0,120
B,27,2698B,18:00,0%,0,120
B,27,2698B,18:00,0%,0,120
B,28,2698B,17:59,0%,1,24
B,28,2698B,17:59,0%,1,24
B,28,2698B,17:59,0%,1,48
B,28,2698B,17:59,0%,1,48
B,28,2698B,17:59,0%,0,120
B,28,2698B,17:59,0%,0,120
B,28,2698B,17:59,0%,0,120
B,28,2698B,17:59,0%,0,120
B,28,2698B,17:59,0%,0,120
B,28,2698B,17:59,0%,0,120
B,29,2698B,18:01,0%,1,24
B,29,2698B,18:01,0%,1,48
B,29,2698B,18:01,0%,1,96
B,29,2698B,18:01,0%,0,120
B,29,2698B,18:01,0%,0,120
B,29,2698B,18:01,0%,0,120
B,29,2698B,18:01,0%,0,120
B,29,2698B,18:01,0%,0,120
B,29,2698B,18:01,0%,0,120
B,29,2698B,18:01,0%,0,120
B,30,2698B,14:32,0%,1,24
B,30,2698B,14:32,0%,1,48
B,30,2698B,14:32,0%,0,120
B,30,2698B,14:32,0%,0,120
B,30,2698B,14:32,0%,0,120
B,30,2698B,14:32,0%,0,120
B,30,2698B,14:32,0%,0,120
