block,vial,treatment,diet,time,censor,hours_til_death
A,1,PBS,0%,14:18,0,120
A,1,PBS,0%,14:18,0,120
A,1,PBS,0%,14:18,0,120
A,1,PBS,0%,14:18,0,120
A,1,PBS,0%,14:18,0,120
A,1,PBS,0%,14:18,0,120
A,1,PBS,0%,14:18,0,120
A,1,PBS,0%,14:18,0,120
A,1,PBS,0%,14:18,0,120
A,1,PBS,0%,14:18,0,120
A,1,PBS,0%,14:18,0,120
A,1,PBS,0%,14:18,0,120
A,2,L. lactis,0%,15:37,1,72
A,2,L. lactis,0%,15:37,1,96
A,2,L. lactis,0%,15:37,0,120
A,2,L. lactis,0%,15:37,0,120
A,2,L. lactis,0%,15:37,0,120
A,2,L. lactis,0%,15:37,0,120
A,2,L. lactis,0%,15:37,0,120
A,2,L. lactis,0%,15:37,0,120
A,2,L. lactis,0%,15:37,0,120
A,2,L. lactis,0%,15:37,0,120
A,3,L. lactis,0%,15:39,1,24
A,3,L. lactis,0%,15:39,1,72
A,3,L. lactis,0%,15:39,1,72
A,3,L. lactis,0%,15:39,1,72
A,3,L. lactis,0%,15:39,1,72
A,3,L. lactis,0%,15:39,1,96
A,3,L. lactis,0%,15:39,0,120
A,3,L. lactis,0%,15:39,0,120
A,3,L. lactis,0%,15:39,0,120
A,3,L. lactis,0%,15:39,0,120
A,4,L. lactis,0%,15:41,1,48
A,4,L. lactis,0%,15:41,1,72
A,4,L. lactis,0%,15:41,1,72
A,4,L. lactis,0%,15:41,0,120
A,4,L. lactis,0%,15:41,0,120
A,4,L. lactis,0%,15:41,0,120
A,4,L. lactis,0%,15:41,0,120
A,4,L. lactis,0%,15:41,0,120
A,4,L. lactis,0%,15:41,0,120
A,5,PBS,2%,14:30,0,120
A,5,PBS,2%,14:30,0,120
A,5,PBS,2%,14:30,0,120
A,5,PBS,2%,14:30,0,120
A,5,PBS,2%,14:30,0,120
A,5,PBS,2%,14:30,0,120
A,5,PBS,2%,14:30,0,120
A,5,PBS,2%,14:30,0,120
A,5,PBS,2%,14:30,0,120
A,5,PBS,2%,14:30,0,120
A,5,PBS,2%,14:30,0,120
A,5,PBS,2%,14:30,0,120
A,5,PBS,2%,14:30,0,120
A,6,L. lactis,2%,16:17,1,24
A,6,L. lactis,2%,16:17,1,48
A,6,L. lactis,2%,16:17,1,72
A,6,L. lactis,2%,16:17,1,72
A,6,L. lactis,2%,16:17,0,120
A,6,L. lactis,2%,16:17,0,120
A,6,L. lactis,2%,16:17,0,120
A,6,L. lactis,2%,16:17,0,120
A,6,L. lactis,2%,16:17,0,120
A,6,L. lactis,2%,16:17,0,120
A,6,L. lactis,2%,16:17,0,120
A,7,L. lactis,2%,16:16,1,48
A,7,L. lactis,2%,16:16,1,72
A,7,L. lactis,2%,16:16,0,120
A,7,L. lactis,2%,16:16,0,120
A,7,L. lactis,2%,16:16,0,120
A,7,L. lactis,2%,16:16,0,120
A,7,L. lactis,2%,16:16,0,120
A,7,L. lactis,2%,16:16,0,120
A,7,L. lactis,2%,16:16,0,120
A,7,L. lactis,2%,16:16,0,120
A,8,L. lactis,2%,16:18,1,48
A,8,L. lactis,2%,16:18,1,48
A,8,L. lactis,2%,16:18,1,72
A,8,L. lactis,2%,16:18,1,72
A,8,L. lactis,2%,16:18,0,120
A,8,L. lactis,2%,16:18,0,120
A,8,L. lactis,2%,16:18,0,120
A,8,L. lactis,2%,16:18,0,120
A,8,L. lactis,2%,16:18,0,120
A,8,L. lactis,2%,16:18,0,120
A,8,L. lactis,2%,16:18,0,120
A,9,PBS,4%,14:25,0,120
A,9,PBS,4%,14:25,0,120
A,9,PBS,4%,14:25,0,120
A,9,PBS,4%,14:25,0,120
A,9,PBS,4%,14:25,0,120
A,9,PBS,4%,14:25,0,120
A,9,PBS,4%,14:25,0,120
A,9,PBS,4%,14:25,0,120
A,9,PBS,4%,14:25,0,120
A,9,PBS,4%,14:25,0,120
A,9,PBS,4%,14:25,0,120
A,9,PBS,4%,14:25,0,120
A,9,PBS,4%,14:25,0,120
A,10,L. lactis,4%,15:24,1,48
A,10,L. lactis,4%,15:24,1,48
A,10,L. lactis,4%,15:24,1,72
A,10,L. lactis,4%,15:24,1,72
A,10,L. lactis,4%,15:24,1,96
