Block,Diet,Day,Sample#,Mean
A,0%,1,8,46.95588235
A,0%,1,8,42.52310924
A,0%,1,8,46.07983193
A,0%,1,8,36.57983193
A,0%,1,8,47.69117647
A,0%,1,8,38.43697479
A,0%,1,8,47.95168067
A,0%,1,8,40.12605042
A,2%,1,8,44.02941176
A,2%,1,8,39.77310924
A,2%,1,8,62.87394958
A,2%,1,8,36.70798319
A,2%,1,8,43.66596639
A,2%,1,8,39.41176471
A,2%,1,8,41.17857143
A,2%,1,8,39.31302521
A,4%,1,8,73.69537815
A,4%,1,8,60.82352941
A,4%,1,8,61.06092437
A,4%,1,8,53.58193277
A,4%,1,8,48.76260504
A,4%,1,8,49.85714286
A,4%,1,8,46.79201681
A,4%,1,8,68.20798319
A,8%,1,8,30.39685908
A,8%,1,8,35.71519525
A,8%,1,8,38.99830221
A,8%,1,8,40.25466893
A,8%,1,8,38.56324278
A,8%,1,8,37.15831919
A,8%,1,8,35.78947368
A,8%,1,8,37.56154499
A,16%,1,8,33.90067912
A,16%,1,8,28.61205433
A,16%,1,8,28.12606112
A,16%,1,8,35.49660441
A,16%,1,8,25.74702886
A,16%,1,8,35.33955857
A,16%,1,8,31.89516129
A,16%,1,8,26.60229202
A,24%,1,8,26.46222411
A,24%,1,8,29.39940577
A,24%,1,8,37.59125637
A,24%,1,8,23.29371817
A,24%,1,8,29.60950764
A,24%,1,8,34.02164686
A,24%,1,8,24.225382
A,24%,1,8,24.20203735
A,0%,2,8,43.90861027
A,0%,2,8,34.05589124
A,0%,2,8,60.16616314
A,0%,2,8,39.42598187
A,0%,2,8,60.17371601
A,0%,2,8,42.97960725
A,0%,2,8,46.83912387
A,0%,2,8,27.38293051
A,2%,2,8,60.26435045
A,2%,2,8,90.58534743
A,2%,2,8,50.21148036
A,2%,2,8,54.57703927
A,2%,2,8,111.2990937
A,2%,2,8,75.10196375
A,2%,2,8,58.80287009
A,2%,2,8,39.14652568
A,4%,2,8,52.60951662
A,4%,2,8,55.56268882
A,4%,2,8,53.19864048
A,4%,2,8,48.42145015
A,4%,2,8,68.0929003
A,4%,2,8,41.62009063
A,4%,2,8,77.0694864
A,4%,2,8,63.75755287
A,8%,2,4,50.64475874
A,8%,2,8,52.95757072
A,8%,2,8,50.02079867
A,8%,2,8,36.5266223
A,8%,2,8,58.82695507
A,8%,2,8,27.14434276
A,8%,2,8,52.77454243
A,8%,2,8,44.41347754
A,16%,2,8,39.90640599
A,16%,2,8,42.1485025
A,16%,2,7,40.3850725
A,16%,2,8,46.84484193
A,16%,2,8,39.74833611
A,16%,2,8,53.66888519
A,16%,2,8,37.07778702
A,16%,2,8,34.39891847
A,24%,2,8,32.30657238
A,24%,2,8,37.27953411
A,24%,2,8,46.16888519
A,24%,2,8,30.9047421
A,24%,2,8,28.54617304
A,24%,2,8,36.93219634
A,24%,2,8,25.76123128
A,24%,2,8,30.99417637
B,0%,1,10,77.39932318
B,0%,1,10,65.45177665
B,0%,1,10,59.00846024
B,0%,1,10,51.32994924
B,0%,1,10,47.78172589
B,0%,1,10,52.09475465
B,0%,1,10,58.39593909
B,0%,1,10,35.38240271
B,2%,1,10,65.48730964
B,2%,1,10,60.82741117
B,2%,1,10,50.55668359
B,2%,1,10,54.51607445
B,2%,1,10,51.96108291
B,2%,1,10,48.37901861
B,2%,1,10,51.85956007
B,2%,1,10,48.0998308
B,4%,1,10,36.96954315
B,4%,1,10,36.03891709
B,4%,1,10,28.0321489
B,4%,1,10,33.81387479
B,4%,1,10,46.91032149
B,4%,1,10,28.18950931
B,4%,1,10,33.77834179
B,4%,1,10,29.85109983
B,8%,1,8,23.24871355
B,8%,1,8,21.60548885
B,8%,1,8,23.41680961
B,8%,1,8,31.04631218
B,8%,1,8,26.40308748
B,8%,1,8,24.53516295
B,8%,1,8,30.67753002
B,8%,1,8,26.89193825
B,16%,1,8,33.72898799
B,16%,1,8,28.39794168
B,16%,1,8,37.30188679
B,16%,1,8,29.89193825
B,16%,1,8,44.18010292
B,16%,1,8,34.30360206
B,16%,1,8,35.25728988
B,16%,1,8,28.43567753
B,24%,1,8,24.3619211
B,24%,1,8,26.87307033
B,24%,1,8,23.87993139
B,24%,1,8,23.5626072
B,24%,1,8,23.6432247
B,24%,1,8,30.57632933
B,24%,1,8,24.41852487
B,24%,1,8,25.04288165
B,0%,2,9,83.95600298
B,0%,2,9,82.27069351
B,0%,2,9,80.98434004
