Block,Diet,Infection,Glucose,protein,glucose_std_2,glycogen,glycogen-standard,trehalose,trehalose-standard
A,2%,Naive,7.45,24.64,0.3,9.187459319,0.372867667,0.942998,0.038271023
A,2%,Naive,6.06,23.89,0.25,7.220438273,0.302236847,1.470776,0.061564504
A,2%,Naive,5.65,23.28,0.24,7.356476459,0.315999848,2.230951,0.095831229
A,2%,Naive,6.33,25.8,0.25,6.924278585,0.268382891,1.593484,0.061762946
A,2%,Providencia,5.85,22.23,0.26,5.51117379,0.24791605,1.735804,0.078083851
A,2%,Providencia,6.87,21.52,0.32,4.782816229,0.222249825,1.282672,0.059603717
A,2%,Providencia,5.88,22.34,0.26,5.041874593,0.225688209,4.952188,0.22167359
A,2%,Providencia,5.76,16.56,0.35,4.01084834,0.242200987,1.484976,0.089672464
A,2%,Serratia,5.95,22.6,0.26,8.849642005,0.39157708,1.368552,0.060555398
A,2%,Serratia,6.53,22.37,0.29,7.459318724,0.333451888,0.933767,0.041741931
A,2%,Serratia,5.86,22.46,0.26,7.139075721,0.317857334,2.04555,0.091075245
A,2%,Serratia,5.21,22.31,0.23,4.812106748,0.215692817,2.417493,0.108359166
A,16%,Naive,5.85,22.23,0.26,10.48926014,0.471851558,3.065768559,0.137911316
A,16%,Naive,6.87,21.52,0.32,7.122152311,0.330955033,4.371238923,0.203124485
A,16%,Naive,5.88,22.34,0.26,7.877196789,0.352605049,5.103198452,0.228433234
A,16%,Naive,5.76,16.56,0.35,6.293556086,0.380045657,3.370908138,0.203557255
A,16%,Providencia,8.11,13.61,0.6,7.424821002,0.545541587,4.827600201,0.354709787
A,16%,Providencia,7.35,22.78,0.32,4.408548492,0.193527151,2.454423386,0.107744661
A,16%,Providencia,7.16,21.73,0.33,6.025385116,0.277284175,4.168857208,0.191848008
A,16%,Providencia,7.97,19.24,0.41,4.914298112,0.2554209,3.678194889,0.191174371
A,16%,Serratia,8.09,21.27,0.38,8.308092862,0.390601451,2.33524782,0.109790683
A,16%,Serratia,7.59,22.61,0.34,4.717075287,0.208627832,3.633241636,0.160691802
A,16%,Serratia,7.42,20.22,0.37,5.623779562,0.278129553,3.072157752,0.151936585
A,16%,Serratia,7.4,23.47,0.32,4.858971577,0.20702904,2.455830853,0.10463702
B,2%,Naive,7.05,26.64,0.26,5.385165908,0.202145867,4.599996078,0.006552
B,2%,Naive,6.81,26.46,0.26,5.437865973,0.205512697,4.310655738,0.03876
B,2%,Naive,5.9,23.56,0.25,7.222511386,0.306558208,0.240124716,0.05943
B,2%,Providencia,4.67,28.41,0.16,2.204944697,0.07761157,1.041416974,0.036652915
B,2%,Providencia,5.01,36.83,0.18,2.471047495,0.067093334,0.498439093,0.013531768
B,2%,Providencia,5.67,26.3,0.15,2.845152895,0.108180718,0.052680602,0.002003304
B,2%,Providencia,8.24,26.78,0.31,2.525699414,0.094312898,NA,NA
B,2%,Serratia,5.89,27.19,0.22,2.063760573,0.075901455,1.195399639,0.043964558
B,2%,Serratia,5.7,29.21,0.21,2.497072219,0.085486896,2.101476586,0.077866966
B,2%,Serratia,6.55,26.99,0.22,2.305139883,0.085407184,2.116342458,0.077291018
B,2%,Serratia,6.64,27.38,0.25,3.240078074,0.118337402,NA,NA
B,16%,Naive,9.47,27.62,0.35,9.517241379,0.344577892,2.778935603,0.100629856
B,16%,Naive,6.96,19.1,0.25,8.081977879,0.423140203,0.591134599,0.03095283
B,16%,Naive,9.82,22.56,0.51,12.10279766,0.536471527,1.554792533,0.068904468
B,16%,Naive,6.62,25.7,0.29,8.780741705,0.341663101,2.116795435,0.082361179
B,16%,Providencia,6.57,20.19,0.26,6.919323357,0.342710419,3.526282454,0.174627424
