Block,Diet,Infection,Glucose,glycogen,trehalose,glucose_std_2,glycogen-standard,trehalose-standard,protein,glucose_diff,glycogen_diff,trehalose_diff,protein_diff
A,2%,Providencia,5.85,5.51117379,1.735804,0.26,0.24791605,0.078083851,22.23,0,-0.75208395,0.213284169,-0.089027764
A,2%,Providencia,6.87,4.782816229,1.282672,0.32,0.222249825,0.059603717,21.52,0.230769231,-0.777750175,-0.073864245,-0.118123143
A,2%,Providencia,5.88,5.041874593,4.952188,0.26,0.225688209,0.22167359,22.34,0,-0.774311791,2.444413333,-0.084520029
A,2%,Providencia,5.76,4.01084834,1.484976,0.35,0.242200987,0.089672464,16.56,0.346153846,-0.757799013,0.393350605,-0.321381006
A,2%,Serratia,5.95,8.849642005,1.368552,0.26,0.39157708,0.060555398,22.6,0,-0.60842292,-0.059076815,-0.073865383
A,2%,Serratia,6.53,7.459318724,0.933767,0.29,0.333451888,0.041741931,22.37,0.115384615,-0.666548112,-0.351404632,-0.083290646
A,2%,Serratia,5.86,7.139075721,2.04555,0.26,0.317857334,0.091075245,22.46,0,-0.682142666,0.415147326,-0.0796025
A,2%,Serratia,5.21,4.812106748,2.417493,0.23,0.215692817,0.108359166,22.31,-0.115384615,-0.784307183,0.683708719,-0.085749411
A,16%,Providencia,8.11,7.424821002,4.827600201,0.6,0.545541587,0.354709787,13.61,1.068965517,0.421183368,0.835434557,-0.341318814
A,16%,Providencia,7.35,4.408548492,2.454423386,0.32,0.193527151,0.107744661,22.78,0.103448276,-0.495844909,-0.442478665,0.102480339
A,16%,Providencia,7.16,6.025385116,4.168857208,0.33,0.277284175,0.191848008,21.73,0.137931034,-0.277650564,-0.007288559,0.051663642
A,16%,Providencia,7.97,4.914298112,3.678194889,0.41,0.2554209,0.191174371,19.24,0.413793103,-0.3346063,-0.010774273,-0.068844525
A,16%,Serratia,8.09,8.308092862,2.33524782,0.38,0.390601451,0.109790683,21.27,0.310344828,0.017550813,-0.431891588,0.029401089
A,16%,Serratia,7.59,4.717075287,3.633241636,0.34,0.208627832,0.160691802,22.61,0.172413793,-0.45650632,-0.168505361,0.094252874
A,16%,Serratia,7.42,5.623779562,3.072157752,0.37,0.278129553,0.151936585,20.22,0.275862069,-0.275448281,-0.213808954,-0.021415608
A,16%,Serratia,7.4,4.858971577,2.455830853,0.32,0.20702904,0.10463702,23.47,0.103448276,-0.460671312,-0.458559054,0.135874168
B,2%,Providencia,4.67,2.204944697,1.041416974,0.16,0.07761157,0.036652915,28.41,-0.384615385,-0.673999944,0.049805665,0.111792475
B,2%,Providencia,5.01,2.471047495,0.498439093,0.18,0.067093334,0.013531768,36.83,-0.307692308,-0.718180799,-0.612425732,0.441299431
B,2%,Providencia,5.67,2.845152895,0.052680602,0.15,0.108180718,0.002003304,26.3,-0.423076923,-0.545597131,-0.942621756,0.029220066
B,2%,Providencia,8.24,2.525699414,NA,0.31,0.094312898,NA,26.78,0.192307692,-0.603847597,NA,0.048004311
B,2%,Serratia,5.89,2.063760573,1.195399639,0.22,0.075901455,0.043964558,27.19,-0.153846154,-0.681183121,0.259224323,0.064049187
B,2%,Serratia,5.7,2.497072219,2.101476586,0.21,0.085486896,0.077866966,29.21,-0.192307692,-0.640920383,1.230250501,0.143099549
B,2%,Serratia,6.55,2.305139883,2.116342458,0.22,0.085407184,0.077291018,26.99,-0.153846154,-0.641255205,1.213754311,0.056222418
B,2%,Serratia,6.64,3.240078074,NA,0.25,0.118337402,NA,27.38,-0.038461538,-0.502934941,NA,0.071484617
B,16%,Providencia,6.57,6.919323357,3.526282454,0.26,0.342710419,0.174627424,20.19,-0.257142857,-0.16709335,1.469555753,-0.14971573
B,16%,Providencia,4.74,4.926480156,0.005865166,0.23,0.19808927,0.000235814,24.87,-0.342857143,-0.518573521,-0.996665153,0.047378395
B,16%,Providencia,5.89,5.60897853,1.59721939,0.24,0.251185783,0.071526273,22.33,-0.314285714,-0.389530351,0.0115142,-0.059591493
B,16%,Providencia,6.21,4.739102147,0.201656993,0.28,0.243280398,0.010351616,19.48,-0.2,-0.408743212,-0.853608945,-0.179616761
B,16%,Serratia,4.8,4.004554327,2.651407954,0.25,0.181037718,0.119876357,22.12,-0.285714286,-0.560014779,0.695274089,-0.06843546
B,16%,Serratia,5.97,6.972023422,3.428927759,0.27,0.319964361,0.157375345,21.79,-0.228571429,-0.222374257,1.225579349,-0.082333123
B,16%,Serratia,6.65,6.366297983,3.798868539,0.31,0.315945309,0.188523445,20.15,-0.114285714,-0.232141965,1.666071271,-0.151400295
B,16%,Serratia,4.6,5.832140534,2.356843674,0.23,0.282839017,0.114307121,20.62,-0.342857143,-0.312601878,0.61651476,-0.131606654
D,2%,Providencia,3.490154337,3.57514639,6.155945184,0.11747982,0.14184209,0.207211281,29.7085427,-0.06016144,-0.310250957,1.493452408,0.005793761
D,2%,Providencia,5.390101118,4.00390371,5.324830975,0.19181511,0.16794311,0.189492376,28.1005025,0.53452088,-0.183327041,1.280234064,-0.048647038
D,2%,Providencia,4.654071315,4.93949252,4.26391229,0.16109001,0.20151648,0.147585554,28.8911223,0.28872008,-0.020066616,0.775953284,-0.02188031
D,2%,Providencia,5.672698244,4.38256344,3.107342069,0.19800052,0.18030074,0.108459028,28.6499162,0.58400416,-0.123234416,0.305128868,-0.030046433
D,2%,Providencia,3.93369863,4.22948602,4.102855579,0.16429325,0.17664698,0.171358186,23.9431549,0.314346,-0.141001903,1.062018436,-0.189395587
D,2%,Providencia,2.345753425,4.42966637,4.188553289,0.10853686,0.20495848,0.193802297,21.6125059,-0.13170512,-0.003328875,1.332096988,-0.268300575
D,2%,Providencia,3.241643836,4.2558611,2.261589098,0.13224935,0.17362637,0.092266052,24.5116059,0.0579948,-0.155690511,0.110272609,-0.170150467
D,2%,Serratia,4.888770623,4.62003904,4.2994484,0.17778972,0.19803652,0.156357864,27.4974874,0.42231776,-0.036988949,0.881513838,-0.069062338
D,2%,Serratia,6.571580628,4.60572544,0.19207094,0.21737775,0.17957089,0.00635341,30.2311558,0.739022,-0.126783527,-0.923546993,0.023487022
D,2%,Serratia,2.696647153,3.41574496,3.97782793,0.09670221,0.14437445,0.142645559,27.8860972,-0.22638232,-0.297936609,0.71650844,-0.055905809
D,2%,Serratia,3.228312932,2.6798959,3.494111758,0.11385295,0.11139848,0.123226886,28.3551089,-0.0891764,-0.458292,0.482836138,-0.040027243
D,2%,Serratia,2.706849315,4.72948602,2.614673142,0.11337617,0.19809415,0.109515377,23.8749408,-0.09299064,-0.036708707,0.317840318,-0.191705001
D,2%,Serratia,3.442191781,2.12082958,4.630766742,0.1356494,0.08357735,0.182488586,25.3756514,0.0851952,-0.593580459,1.195954786,-0.140897885
D,2%,Serratia,3.279452055,2.80703336,5.122892159,0.14036746,0.12014695,0.219270587,23.3633349,0.12293968,-0.415749981,1.638566639,-0.209025609
D,2%,Serratia,3.19890411,4.0238954,10.61308369,0.10888942,0.1369718,0.361265152,29.3775462,-0.12888464,-0.33393418,3.347241419,-0.005412248
D,2%,Serratia,3.087123288,4.62849414,7.701456608,0.11101317,0.16644098,0.276944925,27.8086215,-0.11189464,-0.190631592,2.332583954,-0.058528778
D,16%,Providencia,6.934007451,4.29342876,5.719935335,0.31171705,0.22749569,0.257138659,22.2445561,0.658069415,0.251783357,0.734583577,-0.138215414
D,16%,Providencia,5.056412986,4.19843852,4.308513018,0.20641949,0.20201732,0.175887737,24.4958124,0.097976011,0.111589934,0.186488182,-0.05099866
D,16%,Providencia,5.549589041,2.9012624,5.835473669,0.27703326,0.14482986,0.291304506,20.0322122,0.47358117,-0.203081129,0.965056573,-0.223924648
D,16%,Providencia,6.309041096,0.06627592,3.619531873,0.32933694,0.00345966,0.188942428,19.1567977,0.751792234,-0.980963398,0.27455138,-0.257839405
D,16%,Providencia,6.30410959,3.40306583,3.880674787,0.2786427,0.15041608,0.171526476,22.6243486,0.482142021,-0.17234324,0.157068367,-0.123501732
D,16%,Serratia,2.913783928,3.06896552,2.821117407,0.11875539,0.14742823,0.114978638,24.5360134,-0.368322394,-0.188783732,-0.224387115,-0.049441218
D,16%,Serratia,4.443320915,3.31815224,3.279162185,0.19481952,0.17148011,0.143776426,22.8073702,0.036274043,-0.056439496,-0.030125504,-0.116411224
D,16%,Serratia,1.994145822,1.83994795,2.939319575,0.0897546,0.09761083,0.132295973,22.2177554,-0.522581915,-0.462901418,-0.107569344,-0.139253709
D,16%,Serratia,4.168706759,3.30058556,5.486338926,0.16671476,0.15558092,0.219409455,25.0050251,-0.113219362,-0.143923973,0.480073198,-0.031271062
D,16%,Serratia,3.23342466,2.83904418,1.891431872,0.16168655,0.14196566,0.094580554,19.9981052,-0.13996516,-0.218841243,-0.361986734,-0.225246
D,16%,Serratia,5.13534247,4.70018034,3.062822867,0.20310079,0.1858903,0.121133451,25.2846992,0.080323351,0.022851834,-0.182868513,-0.020436104
D,16%,Serratia,5.66794521,3.54102795,3.75550494,0.21923615,0.13696698,0.145262953,25.8531502,0.166149734,-0.246346223,-0.02009782,0.001586467
D,16%,Serratia,6.07726027,3.7696113,3.55199184,0.23352804,0.14485309,0.13649073,26.0236855,0.242170426,-0.202953307,-0.079272718,0.008193238
E,2%,Providencia,9.041894353,0.767876588,1.747560909,0.538778662,0.045755403,0.104131777,16.78220575,0.129515015,-0.655924665,0.136727268,-0.017737761
E,2%,Providencia,5.832422587,1.747560909,3.129811729,0.454053678,0.136047491,0.243655617,12.84522706,-0.048105497,0.023061387,1.659802722,-0.248169062
E,2%,Providencia,8.236794171,3.129811729,1.490516783,0.519372423,0.197350798,0.093984783,15.85912882,0.088831075,0.484055161,0.025960266,-0.071765439
E,2%,Providencia,7.593806922,1.490516783,0.712280702,0.323453248,0.063487589,0.030339131,23.47729379,-0.321900948,-0.522580678,-0.668810823,0.374125638
E,2%,Providencia,8.009107468,0.712280702,1.024988542,0.721595437,0.064174255,0.09234825,11.09916589,0.512778694,-0.51741703,0.008095482,-0.350365994
E,2%,Providencia,8.100182149,1.024988542,1.501094429,0.501267294,0.063429837,0.092892916,16.15940686,0.05087483,-0.523014967,0.014041186,-0.05419017
E,2%,Providencia,6.324225865,1.501094429,0.652594915,0.480281511,0.11399781,0.049560101,13.16774791,0.006879478,-0.142749662,-0.458990139,-0.229291921
