Block,id,infection,diet,infection_diet,GT,dilution,Abs,Abs-blank,Abs-blank-min-max,pg_fly,Mr_cec,LR
A,9,naive,2%,naive0.02,Cec,10,0.13625,-0.00652,0.1019,40,97.80446108,1
A,10,naive,2%,naive0.02,Cec,10,0.1352,-0.00757,0.1019,40,97.80446108,0
A,11,naive,2%,naive0.02,Cec,10,0.13565,-0.00712,0.1019,40,97.80446108,0
A,12,naive,2%,naive0.02,Cec,10,0.12605,-0.01672,0.1019,40,97.80446108,0
A,13,naive,2%,naive0.02,Cec,10,0.13705,-0.00572,0.1019,40,97.80446108,0
A,14,naive,2%,naive0.02,Cec,10,0.12125,-0.02152,0.1019,40,97.80446108,0
A,15,naive,2%,naive0.02,Cec,10,0.1371,-0.00567,0.1019,40,97.80446108,0
A,16,naive,2%,naive0.02,Cec,10,0.134,-0.00877,0.1019,40,97.80446108,0
BD,63,naive,2%,naive0.02,Cec,10,0.11235,-0.082604545,0.128,40,97.80446108,0
BD,64,naive,2%,naive0.02,Cec,10,0.12635,-0.068604545,0.128,40,97.80446108,0
BD,65,naive,2%,naive0.02,Cec,10,0.10925,-0.085704545,0.128,40,97.80446108,0
BD,66,naive,2%,naive0.02,Cec,10,0.1164,-0.078554545,0.128,40,97.80446108,0
BD,67,naive,2%,naive0.02,Cec,10,0.12745,-0.067504545,0.128,40,97.80446108,0
BD,68,naive,2%,naive0.02,Cec,10,0.13765,-0.057304545,0.128,40,97.80446108,0
BD,69,naive,2%,naive0.02,Cec,10,0.11615,-0.078804545,0.128,40,97.80446108,0
BD,70,naive,2%,naive0.02,Cec,10,0.1073,-0.087654545,0.128,40,97.80446108,0
C,119,naive,2%,naive0.02,Cec,10,0.16525,-0.092686364,0.0972,40,97.80446108,0
C,120,naive,2%,naive0.02,Cec,10,0.1696,-0.088336364,0.0972,40,97.80446108,0
C,121,naive,2%,naive0.02,Cec,10,0.2062,-0.051736364,0.0972,40,97.80446108,0
C,122,naive,2%,naive0.02,Cec,10,0.1614,-0.096536364,0.0972,40,97.80446108,0
C,123,naive,2%,naive0.02,Cec,10,0.17235,-0.085586364,0.0972,40,97.80446108,0
C,124,naive,2%,naive0.02,Cec,10,0.1377,-0.120236364,0.0972,40,97.80446108,0
C,125,naive,2%,naive0.02,Cec,10,0.15425,-0.103686364,0.0972,40,97.80446108,0
C,126,naive,2%,naive0.02,Cec,10,0.16485,-0.093086364,0.0972,40,97.80446108,0
A,36,Providencia,2%,Providencia0.02,Cec,10,0.17675,0.03398,0.1019,40,97.80446108,0
A,41,Providencia,2%,Providencia0.02,Cec,10,0.13035,-0.01242,0.1019,40,97.80446108,0
A,46,Providencia,2%,Providencia0.02,Cec,10,0.14205,-0.00072,0.1019,40,97.80446108,0
BD,95,Providencia,2%,Providencia0.02,Cec,10,0.13585,-0.059104545,0.128,40,97.80446108,0
BD,96,Providencia,2%,Providencia0.02,Cec,10,0.1197,-0.075254545,0.128,40,97.80446108,0
BD,97,Providencia,2%,Providencia0.02,Cec,10,0.1508,-0.044154545,0.128,40,97.80446108,0
BD,98,Providencia,2%,Providencia0.02,Cec,10,0.1544,-0.040554545,0.128,40,97.80446108,0
BD,99,Providencia,2%,Providencia0.02,Cec,10,0.1102,-0.084754545,0.128,40,97.80446108,0
