Block,infection,diet,GT,dilution,Abs,Abs-blank,Abs-blank-min-max,pg_fly,Mr_dro,LR
A,naive,16%,Dro,20,0.2006,0.081375,0.11,80,134.4799592,0
A,naive,16%,Dro,20,0.1468,0.027575,0.11,80,134.4799592,0
A,naive,16%,Dro,20,0.1398,0.020575,0.11,80,134.4799592,0
A,naive,16%,Dro,20,0.1443,0.025075,0.11,80,134.4799592,0
A,naive,16%,Dro,20,0.15455,0.035325,0.11,80,134.4799592,0
A,naive,2%,Dro,20,0.22265,0.103425,0.11,80,134.4799592,0
A,naive,2%,Dro,20,0.14255,0.023325,0.11,80,134.4799592,0
A,naive,2%,Dro,20,0.1379,0.018675,0.11,80,134.4799592,0
A,naive,2%,Dro,20,0.1285,0.009275,0.11,80,134.4799592,0
A,naive,2%,Dro,20,0.1375,0.018275,0.11,80,134.4799592,0
A,Providencia,16%,Dro,20,0.3601,0.240875,0.240875,891.627907,1498.826057,1
A,Providencia,16%,Dro,20,0.447,0.327775,0.327775,1430.542636,2404.741441,1
A,Providencia,16%,Dro,20,0.38805,0.268825,0.268825,1064.96124,1790.199301,1
A,Providencia,16%,Dro,20,0.4642,0.344975,0.344975,1537.209302,2584.048052,1
A,Providencia,16%,Dro,20,0.3396,0.220375,0.220375,764.496124,1285.117594,1
A,Providencia,2%,Dro,20,0.55295,0.433725,0.433725,2087.596899,3509.249322,1
A,Providencia,2%,Dro,20,0.4037,0.284475,0.284475,1162.015504,1953.347469,1
A,Providencia,2%,Dro,20,0.2527,0.133475,0.133475,225.5813953,379.2022104,1
A,Providencia,2%,Dro,20,0.39495,0.275725,0.275725,1107.751938,1862.130442,1
A,Providencia,2%,Dro,20,0.6405,0.521275,0.521275,2630.542636,4421.940828,1
B,naive,16%,Dro,20,0.16025,0.0201,0.0377,80,134.4799592,0
B,naive,16%,Dro,20,0.15085,0.0107,0.0377,80,134.4799592,0
B,naive,2%,Dro,20,0.152,0.01185,0.0377,80,134.4799592,0
B,naive,2%,Dro,20,0.16935,0.0292,0.0377,80,134.4799592,0
B,naive,2%,Dro,20,0.16835,0.0282,0.0377,80,134.4799592,0
B,Providencia,16%,Dro,20,0.17325,0.0331,0.0377,80,134.4799592,0
B,Providencia,16%,Dro,20,0.2357,0.09555,0.09555,450.24,756.8532102,1
B,Providencia,2%,Dro,20,0.28795,0.1478,0.1478,784.64,1318.979439,1
B,Providencia,2%,Dro,20,0.24155,0.1014,0.1014,487.68,819.7898311,1
B,Providencia,2%,Dro,20,0.33175,0.1916,0.1916,1064.96,1790.197216,1
B,naive,16%,Dro,20,0.171,0.026763636,0.1418,80,134.4799592,0
B,naive,16%,Dro,20,0.17955,0.035313636,0.1418,80,134.4799592,0
B,naive,16%,Dro,20,0.15285,0.008613636,0.1418,80,134.4799592,0
B,naive,16%,Dro,20,0.1515,0.007263636,0.1418,80,134.4799592,0
B,naive,16%,Dro,20,0.146,0.001763636,0.1418,80,134.4799592,0
B,naive,16%,Dro,20,0.14535,0.001113636,0.1418,80,134.4799592,0
B,naive,16%,Dro,20,0.26635,0.122113636,0.1418,80,134.4799592,0
B,naive,16%,Dro,20,0.14685,0.002613636,0.1418,80,134.4799592,0
B,naive,2%,Dro,20,0.1512,0.006963636,0.1418,80,134.4799592,0
