Block,Diet,Plate_Type,Homogenante_Volume,Fly_num,Plate_ID,CFU_mL,CFU_group,CFU_fly
A,16%,BHI,0.3,5,BHI-16%-2,7.00E+02,2.10E+02,4.20E+01
A,16%,BHI,0.3,5,BHI-16%-5,2.60E+02,7.80E+01,1.56E+01
A,16%,BHI,0.3,5,BHI-16%-3,8.00E+02,2.40E+02,4.80E+01
A,16%,BHI,0.3,5,BHI-16%-4,5.37E+03,1.61E+03,3.22E+02
A,2%,BHI,0.3,5,BHI-2%-1,4.00E+01,1.20E+01,2.40E+00
A,2%,BHI,0.3,5,BHI-2%-4,6.20E+02,1.86E+02,3.72E+01
A,2%,BHI,0.3,5,BHI-2%-5,2.00E+01,6.00E+00,1.20E+00
A,2%,LB,0.3,5,LB-2%-1,1.20E+02,3.60E+01,7.20E+00
A,2%,LB,0.3,5,LB-2%-2,1.60E+02,4.80E+01,9.60E+00
A,2%,LB,0.3,5,LB-2%-3,8.00E+01,2.40E+01,4.80E+00
A,16%,LB,0.3,5,LB-16%-1,8.00E+01,2.40E+01,4.80E+00
A,16%,LB,0.3,5,LB-16%-2,2.00E+01,6.00E+00,1.20E+00
A,16%,LB,0.3,5,LB-16%-3,6.00E+01,1.80E+01,3.60E+00
A,16%,LB,0.3,5,LB-16%-4,4.29E+04,1.29E+04,2.57E+03
B,16%,BHI,0.3,5,BHI-16%-7,5.80E+02,1.74E+02,3.48E+01
B,16%,BHI,0.3,5,BHI-16%-5,2.00E+01,6.00E+00,1.20E+00
B,16%,BHI,0.3,5,BHI-16%-4,1.00E+02,3.00E+01,6.00E+00
B,16%,BHI,0.3,5,BHI-16%-3,6.00E+01,1.80E+01,3.60E+00
B,16%,BHI,0.3,5,BHI-16%-2,8.00E+01,2.40E+01,4.80E+00
B,16%,BHI,0.3,5,BHI-16%-1,4.00E+02,1.20E+02,2.40E+01
B,2%,BHI,0.3,5,BHI-2%-8,1.46E+05,4.38E+04,8.76E+03
B,2%,BHI,0.3,5,BHI-2%-7,1.97E+05,5.91E+04,1.18E+04
B,2%,BHI,0.3,5,BHI-2%-6,1.49E+05,4.47E+04,8.94E+03
B,2%,BHI,0.3,5,BHI-2%-5,1.85E+05,5.55E+04,1.11E+04
B,2%,BHI,0.3,5,BHI-2%-4,1.36E+05,4.08E+04,8.16E+03
B,2%,BHI,0.3,5,BHI-2%-3,1.56E+05,4.68E+04,9.36E+03
B,2%,BHI,0.3,5,BHI-2%-2,1.62E+05,4.86E+04,9.72E+03
B,2%,BHI,0.3,5,BHI-2%-1,1.44E+05,4.32E+04,8.64E+03
B,16%,LB,0.3,5,LB-16%-8,4.20E+02,1.26E+02,2.52E+01
B,16%,LB,0.3,5,LB-16%-7,5.20E+02,1.56E+02,3.12E+01
B,16%,LB,0.3,5,LB-16%-6,2.00E+01,6.00E+00,1.20E+00
B,16%,LB,0.3,5,LB-16%-5,2.00E+01,6.00E+00,1.20E+00
B,16%,LB,0.3,5,LB-16%-3,1.00E+02,3.00E+01,6.00E+00
B,16%,LB,0.3,5,LB-16%-2,4.00E+01,1.20E+01,2.40E+00
B,16%,LB,0.3,5,LB-16%-1,3.20E+02,9.60E+01,1.92E+01
B,2%,LB,0.3,5,LB-2%-8,1.38E+05,4.14E+04,8.28E+03
B,2%,LB,0.3,5,LB-2%-7,1.59E+05,4.77E+04,9.54E+03
B,2%,LB,0.3,5,LB-2%-6,1.35E+05,4.05E+04,8.10E+03
B,2%,LB,0.3,5,LB-2%-5,1.65E+05,4.95E+04,9.90E+03
B,2%,LB,0.3,5,LB-2%-4,1.61E+05,4.83E+04,9.66E+03
B,2%,LB,0.3,5,LB-2%-3,1.49E+05,4.47E+04,8.94E+03
B,2%,LB,0.3,5,LB-2%-2,1.38E+05,4.14E+04,8.28E+03
B,2%,LB,0.3,5,LB-2%-1,1.49E+05,4.47E+04,8.94E+03
