block,vial,treatment,diet,time,censor,hours_til_death
a,1,PBS,0%,13:03,0,120
a,1,PBS,0%,13:03,0,120
a,1,PBS,0%,13:03,0,120
a,1,PBS,0%,13:03,0,120
a,1,PBS,0%,13:03,0,120
a,1,PBS,0%,13:03,0,120
a,1,PBS,0%,13:03,0,120
a,1,PBS,0%,13:03,0,120
a,1,PBS,0%,13:03,0,120
a,1,PBS,0%,13:03,0,120
a,1,PBS,0%,13:03,0,120
a,1,PBS,0%,13:03,0,120
a,2,E. faecalis,0%,13:40,1,24
a,2,E. faecalis,0%,13:40,1,24
a,2,E. faecalis,0%,13:40,1,24
a,2,E. faecalis,0%,13:40,1,48
a,2,E. faecalis,0%,13:40,1,48
a,2,E. faecalis,0%,13:40,0,120
a,2,E. faecalis,0%,13:40,0,120
a,2,E. faecalis,0%,13:40,0,120
a,2,E. faecalis,0%,13:40,0,120
a,2,E. faecalis,0%,13:40,0,120
a,3,E. faecalis,0%,13:52,1,24
a,3,E. faecalis,0%,13:52,1,24
a,3,E. faecalis,0%,13:52,1,24
a,3,E. faecalis,0%,13:52,1,24
a,3,E. faecalis,0%,13:52,1,48
a,3,E. faecalis,0%,13:52,1,48
a,3,E. faecalis,0%,13:52,1,48
a,3,E. faecalis,0%,13:52,0,120
a,3,E. faecalis,0%,13:52,0,120
a,3,E. faecalis,0%,13:52,0,120
a,4,E. faecalis,0%,13:54,1,24
a,4,E. faecalis,0%,13:54,1,48
a,4,E. faecalis,0%,13:54,1,48
a,4,E. faecalis,0%,13:54,1,72
a,4,E. faecalis,0%,13:54,0,120
a,4,E. faecalis,0%,13:54,0,120
a,4,E. faecalis,0%,13:54,0,120
a,4,E. faecalis,0%,13:54,0,120
a,4,E. faecalis,0%,13:54,0,120
a,4,E. faecalis,0%,13:54,0,120
a,5,PBS,2%,12:38,1,24
a,5,PBS,2%,12:38,0,120
a,5,PBS,2%,12:38,0,120
a,5,PBS,2%,12:38,0,120
a,5,PBS,2%,12:38,0,120
a,5,PBS,2%,12:38,0,120
a,5,PBS,2%,12:38,0,120
a,5,PBS,2%,12:38,0,120
a,5,PBS,2%,12:38,0,120
a,5,PBS,2%,12:38,0,120
a,5,PBS,2%,12:38,0,120
a,5,PBS,2%,12:38,0,120
a,6,E. faecalis,2%,14:13,1,48
