block,genotype,diet,bacteria,time_point,homogenate_volume_mL,dilution,plate_id,CFU_mL,CFU_fly
A,PanAMP,16%,2698B,0,0.5,1,T0-16%-2,5.20E+02,2.60E+02
A,PanAMP,16%,2698B,2,0.5,1,T2-16%-6,2.40E+03,1.22E+03
B,PanAMP,16%,2698B,6,0.5,10,T6-16%-5,2.60E+03,1.31E+04
B,PanAMP,2%,2698B,6,0.5,10,T6-2%-1,3.00E+03,1.52E+04
C,PanAMP,16%,2698B,0,0.5,1,T0-16%-5,3.10E+03,1.54E+03
A,PanAMP,16%,2698B,2,0.5,1,T2-16%-8,3.20E+03,1.59E+03
A,PanAMP,2%,2698B,2,0.5,1,T2-2%-10,3.20E+03,1.58E+03
B,PanAMP,16%,2698B,6,0.5,10,T6-16%-7,3.20E+03,1.59E+04
A,PanAMP,16%,2698B,6,0.5,10,T6-16%-8,3.90E+03,1.94E+04
B,PanAMP,2%,2698B,0,0.5,1,T2-2%-2,4.00E+03,2.00E+03
B,PanAMP,2%,2698B,2,0.5,1,T2-2%-7,4.00E+03,2.00E+03
B,PanAMP,16%,2698B,2,0.5,1,T2-16%-3,4.30E+03,2.13E+03
B,PanAMP,16%,2698B,2,0.5,1,T2-16%-7,4.30E+03,2.13E+03
B,PanAMP,16%,2698B,2,0.5,1,T2-16%-9,4.30E+03,2.17E+03
A,PanAMP,16%,2698B,6,0.5,10,T6-16%-1,4.50E+03,2.24E+04
B,PanAMP,16%,2698B,2,0.5,1,T2-16%-6,5.30E+03,2.67E+03
A,PanAMP,16%,2698B,2,0.5,1,T2-16%-5,5.40E+03,2.72E+03
B,PanAMP,2%,2698B,6,0.5,10,T6-2%-3,5.40E+03,2.72E+04
B,PanAMP,16%,2698B,6,0.5,100,T8-16%-4,5.40E+03,2.69E+05
B,PanAMP,16%,2698B,2,0.5,1,T2-16%-10,5.50E+03,2.77E+03
A,PanAMP,2%,2698B,2,0.5,1,T2-2%-4,5.70E+03,2.87E+03
A,PanAMP,16%,2698B,2,0.5,1,T2-16%-4,5.80E+03,2.92E+03
B,PanAMP,16%,2698B,6,0.5,10,T6-16%-6,5.80E+03,2.90E+04
