block,genotype,diet,bacteria,time_point,homogenate_volume_mL,dilution,plate_id,CFU_mL,CFU_fly
A,PanAMP,16%,providencia,0,0.5,1,T0-16%-2-PANAMP,1.10E+04,5.50E+03
A,PanAMP,16%,providencia,0,0.5,1,T0-16%-1-PANAMP,1.28E+04,6.40E+03
A,PanAMP,16%,providencia,0,0.5,1,T0-16%-3-PANAMP,1.07E+04,5.35E+03
A,PanAMP,16%,providencia,0,0.5,1,T0-16%-4-PANAMP,1.19E+04,5.95E+03
A,PanAMP,16%,providencia,0,0.5,1,T0-16%-5-PANAMP,1.26E+04,6.30E+03
A,PanAMP,16%,providencia,0,0.5,1,T0-16%-6-PANAMP,1.29E+04,6.45E+03
A,PanAMP,16%,providencia,0,0.5,1,T0-16%-7-PANAMP,1.20E+04,6.00E+03
A,PanAMP,16%,providencia,0,0.5,1,T0-16%-8-PANAMP,1.29E+04,6.45E+03
A,PanAMP,2%,providencia,0,0.5,1,T0-2%-1-PANAMP,1.30E+04,6.50E+03
A,PanAMP,2%,providencia,0,0.5,1,T0-2%-2-PANAMP,7.90E+03,3.95E+03
A,PanAMP,2%,providencia,0,0.5,1,T0-2%-3-PANAMP,1.20E+04,6.00E+03
A,PanAMP,2%,providencia,0,0.5,1,T0-2%-4-PANAMP,1.30E+04,6.50E+03
A,PanAMP,2%,providencia,0,0.5,1,T0-2%-5-PANAMP,1.08E+04,5.40E+03
A,PanAMP,2%,providencia,0,0.5,1,T0-2%-6-PANAMP,1.13E+04,5.65E+03
A,PanAMP,2%,providencia,0,0.5,1,T0-2%-7-PANAMP,1.14E+04,5.70E+03
A,PanAMP,2%,providencia,0,0.5,1,T0-2%-8-PANAMP,1.11E+04,5.55E+03
A,PanAMP,2%,providencia,2,0.5,1,T2-2%-1-PANAMP,1.48E+04,7.40E+03
A,PanAMP,2%,providencia,2,0.5,1,T2-2%-2-PANAMP,1.25E+04,6.25E+03
A,PanAMP,2%,providencia,2,0.5,1,T2-2%-3-PANAMP,1.24E+04,6.20E+03
A,PanAMP,2%,providencia,2,0.5,1,T2-2%-4-PANAMP,1.24E+04,6.20E+03
A,PanAMP,2%,providencia,2,0.5,1,T2-2%-5-PANAMP,1.40E+04,7.00E+03
A,PanAMP,2%,providencia,2,0.5,1,T2-2%-6-PANAMP,1.36E+04,6.80E+03
A,PanAMP,2%,providencia,2,0.5,1,T2-2%-7-PANAMP,1.17E+04,5.85E+03
A,PanAMP,2%,providencia,2,0.5,1,T2-2%-8-PANAMP,1.38E+04,6.90E+03
A,PanAMP,2%,providencia,2,0.5,1,T2-2%-9-PANAMP,1.27E+04,6.35E+03
A,PanAMP,2%,providencia,2,0.5,1,T2-2%-10-PANAMP,1.58E+04,7.90E+03
A,PanAMP,16%,providencia,2,0.5,1,T2-16%-1-PANAMP,1.12E+04,5.60E+03
A,PanAMP,16%,providencia,2,0.5,1,T2-16%-2-PANAMP,1.17E+04,5.85E+03
A,PanAMP,16%,providencia,2,0.5,1,T2-16%-3-PANAMP,1.38E+04,6.90E+03
A,PanAMP,16%,providencia,2,0.5,1,T2-16%-4-PANAMP,1.11E+04,5.55E+03
A,PanAMP,16%,providencia,2,0.5,1,T2-16%-5-PANAMP,1.29E+04,6.45E+03
A,PanAMP,16%,providencia,2,0.5,1,T2-16%-6-PANAMP,1.20E+04,6.00E+03
A,PanAMP,16%,providencia,2,0.5,1,T2-16%-7-PANAMP,1.18E+04,5.90E+03
A,PanAMP,16%,providencia,2,0.5,1,T2-16%-8-PANAMP,1.26E+04,6.30E+03
A,PanAMP,16%,providencia,2,0.5,1,T2-16%-9-PANAMP,1.56E+04,7.80E+03
A,PanAMP,16%,providencia,2,0.5,1,T2-16%-10-PANAMP,1.21E+04,6.05E+03
A,PanAMP,16%,providencia,2,0.5,1,T2-16%-11-PANAMP,1.40E+04,7.00E+03
A,PanAMP,16%,providencia,4,0.5,1,T4-16%-1-PANAMP,4.07E+04,2.04E+04
A,PanAMP,16%,providencia,4,0.5,1,T4-16%-2-PANAMP,4.18E+04,2.09E+04
A,PanAMP,16%,providencia,4,0.5,1,T4-16%-3-PANAMP,4.69E+04,2.35E+04
